step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
54,64,0.0281585,0.00209918,0.260593,0.1,0.0260593,-0.0349589,-4.56664e-12,-0.0349589,1280.43,0.136827,1,0.00167799,0.190422,0.129587,0.0276977,true
55,64,0.0279826,0.00230898,0.256736,0.1,0.0256736,-0.00685676,-2.68563e-13,-0.00685676,1270.92,0.0868221,0.999268,0.000474691,0.19096,0.139362,0.0276769,true
56,64,0.027364,0.00212074,0.252433,0.1,0.0252433,0.0117046,-1.6636e-11,0.0117046,1260.23,0.167366,0.999939,5.11805e-05,0.191378,0.126057,0.0272895,true
57,64,0.0283549,0.00238293,0.25972,0.1,0.025972,-0.0282363,-3.77725e-11,-0.0282363,1278.29,0.156243,0.999715,0.00373197,0.189965,0.14492,0.0276551,true
58,64,0.0278218,0.00199726,0.258245,0.1,0.0258245,0.000593874,1.8332e-11,0.000593874,1274.65,0.0554841,1,0.00164962,0.190724,0.122286,0.0275555,true
59,64,0.0281593,0.00217865,0.259806,0.1,0.0259806,0.0219939,-2.37142e-11,0.0219939,1278.5,0.182926,0.999919,0.000368277,0.191037,0.131386,0.0273689,true
60,64,0.0275977,0.00205302,0.255447,0.1,0.0255447,0.034331,-1.04408e-11,0.034331,1267.73,0.246997,0.99998,3.44912e-05,0.191237,0.121577,0.0269053,true
61,64,0.0281033,0.00233957,0.257637,0.1,0.0257637,-0.00927106,7.98243e-12,-0.00927106,1273.15,0.0812335,0.999695,0.00360052,0.190248,0.14247,0.0274169,true
62,64,0.0279192,0.00193196,0.259872,0.1,0.0259872,0.0114462,-1.57237e-12,0.0114462,1278.66,0.105889,1,0.00148098,0.190316,0.117574,0.0276299,true
63,64,0.0280003,0.00210655,0.258937,0.1,0.0258937,0.0235027,-9.00946e-13,0.0235027,1276.36,0.192845,1,0.000309229,0.190484,0.127215,0.0274206,true
64,64,0.0275149,0.00200937,0.255056,0.1,0.0255056,0.0299816,-1.93508e-12,0.0299816,1266.76,0.237787,1,3.6637e-05,0.190609,0.119198,0.02686,true
65,64,0.0280373,0.00231241,0.257249,0.1,0.0257249,-0.0185769,9.71691e-12,-0.0185769,1272.19,0.130945,0.999613,0.00358272,0.190091,0.141254,0.027541,true
66,64,0.0276816,0.0018988,0.257828,0.1,0.0257828,-0.00341968,-1.57614e-11,-0.00341968,1273.62,0.0364142,1,0.00146445,0.191071,0.114409,0.0275491,true
67,64,0.027764,0.0020614,0.257026,0.1,0.0257026,0.00480531,-5.83191e-12,0.00480531,1271.64,0.113161,1,0.000355323,0.191157,0.124279,0.0273348,true
68,64,0.0272367,0.00198639,0.252503,0.1,0.0252503,0.0121518,1.48557e-11,0.0121518,1260.4,0.175244,1,3.11534e-05,0.191424,0.117432,0.0267424,true
69,64,0.0281067,0.00230913,0.257975,0.1,0.0257975,-0.0402556,-1.25056e-11,-0.0402556,1273.99,0.260434,0.999613,0.00372831,0.190123,0.141082,0.0272377,true
70,64,0.0277787,0.00186446,0.259142,0.1,0.0259142,-0.023576,-1.78891e-11,-0.023576,1276.86,0.0830321,1,0.0015343,0.190607,0.111887,0.0274446,true
71,64,0.0277631,0.00203216,0.25731,0.1,0.025731,-0.0100847,1.4558e-11,-0.0100847,1272.34,0.0664423,1,0.00029699,0.191065,0.122278,0.0271969,true
72,64,0.0269765,0.00194055,0.250359,0.1,0.0250359,0.00107819,9.08481e-12,0.00107819,1255.04,0.127292,0.99998,1.64509e-05,0.19105,0.114579,0.026756,true
73,64,0.0282709,0.00226614,0.260048,0.1,0.0260048,-0.0481389,2.64942e-11,-0.0481389,1279.09,0.317793,0.999797,0.00345135,0.190536,0.137965,0.0272604,true
74,64,0.0277038,0.00182417,0.258796,0.1,0.0258796,-0.0258146,7.61613e-14,-0.0258146,1276.01,0.106085,1,0.00143393,0.190478,0.109078,0.0274544,true
75,64,0.0276566,0.00199374,0.256629,0.1,0.0256629,-0.00794598,2.52641e-11,-0.00794598,1270.66,0.0708558,1,0.000271161,0.191109,0.119163,0.0270274,true
76,64,0.0269196,0.00190883,0.250108,0.1,0.0250108,0.00693302,2.23318e-12,0.00693302,1254.41,0.154996,1,1.35899e-05,0.190765,0.112741,0.0264988,true
77,64,0.0278332,0.00219542,0.256377,0.1,0.0256377,-0.0356508,1.16381e-11,-0.0356508,1270.03,0.260062,0.999817,0.00350753,0.19073,0.133888,0.0271898,true
78,64,0.0274778,0.00177722,0.257006,0.1,0.0257006,-0.0117152,-1.4655e-11,-0.0117152,1271.59,0.0376891,1,0.00139848,0.190874,0.104919,0.0273075,true
79,64,0.0275956,0.00195604,0.256396,0.1,0.0256396,0.00420648,-2.03996e-11,0.00420648,1270.08,0.118554,1,0.000247796,0.190744,0.116354,0.0270188,true
80,64,0.0268128,0.00186766,0.249452,0.1,0.0249452,0.0197332,1.659e-11,0.0197332,1252.76,0.209314,1,1.16825e-05,0.191221,0.109118,0.0264871,true
81,64,0.0275247,0.00214664,0.253781,0.1,0.0253781,-0.0231692,-2.34556e-11,-0.0231692,1263.59,0.18684,0.999898,0.00362595,0.19133,0.130529,0.0270953,true
82,64,0.0275373,0.00174217,0.257951,0.1,0.0257951,-0.00336062,1.59881e-11,-0.00336062,1273.93,0.0325683,1,0.00129334,0.191108,0.101947,0.0272487,true
83,64,0.0275152,0.00194074,0.255744,0.1,0.0255744,0.0101876,6.01709e-12,0.0101876,1268.47,0.137809,1,0.00020353,0.19125,0.114355,0.0267929,true
84,64,0.0267069,0.00184301,0.248639,0.1,0.0248639,0.0218035,2.36207e-11,0.0218035,1250.72,0.213537,1,7.62939e-06,0.191771,0.106755,0.0263638,true
85,64,0.0274239,0.0020923,0.253316,0.1,0.0253316,-0.0214375,-7.90375e-12,-0.0214375,1262.43,0.195068,0.999939,0.00325028,0.191091,0.127177,0.0270756,true
86,64,0.0273765,0.00170617,0.256704,0.1,0.0256704,-0.0051338,-1.53037e-12,-0.0051338,1270.84,0.0279344,1,0.00121498,0.191053,0.0990418,0.0270527,true
87,64,0.0273879,0.00192883,0.254591,0.1,0.0254591,0.00515407,-5.81102e-12,0.00515407,1265.6,0.114262,1,0.000217835,0.192006,0.112905,0.0267788,true
88,64,0.0266496,0.00182363,0.248259,0.1,0.0248259,0.0164522,2.23911e-11,0.0164522,1249.77,0.192476,1,4.6889e-06,0.191676,0.105181,0.0263819,true
89,64,0.0275785,0.00206028,0.255182,0.1,0.0255182,-0.0290485,1.02825e-11,-0.0290485,1267.07,0.263613,0.999878,0.00333889,0.191046,0.124977,0.0270312,true
90,64,0.0273113,0.00169152,0.256197,0.1,0.0256197,-0.0108698,-1.06172e-11,-0.0108698,1269.59,0.0574055,1,0.00124399,0.191275,0.0975222,0.027125,true
91,64,0.0273546,0.00191244,0.254422,0.1,0.0254422,0.000267124,2.76407e-12,0.000267124,1265.18,0.0859674,1,0.00019002,0.191482,0.11197,0.0267747,true
92,64,0.0264789,0.00179991,0.24679,0.1,0.024679,0.0120879,-2.03076e-11,0.0120879,1246.06,0.165507,1,4.13259e-06,0.192013,0.103144,0.0262647,true
93,64,0.0273873,0.00204097,0.253463,0.1,0.0253463,-0.0292033,-2.54276e-11,-0.0292033,1262.8,0.290677,0.999939,0.00339278,0.191581,0.123486,0.0269936,true
94,64,0.0272555,0.00166775,0.255877,0.1,0.0255877,-0.00991804,2.94953e-11,-0.00991804,1268.79,0.0607139,1,0.00124423,0.191293,0.0953565,0.0271134,true
95,64,0.0273144,0.00188788,0.254265,0.1,0.0254265,0.00358936,-5.6631e-12,0.00358936,1264.79,0.0954904,1,0.000184774,0.191786,0.109681,0.0266042,true
96,64,0.0262886,0.00178845,0.245002,0.1,0.0245002,0.0168993,2.33913e-11,0.0168993,1241.54,0.183101,1,2.86102e-06,0.19239,0.101982,0.0262646,true
97,64,0.027407,0.00203288,0.253742,0.1,0.0253742,-0.0230101,6.43741e-12,-0.0230101,1263.49,0.255786,0.999959,0.00338372,0.192091,0.1222,0.0269309,true
98,64,0.0273159,0.00164701,0.256689,0.1,0.0256689,-0.00314037,2.54209e-11,-0.00314037,1270.81,0.0263719,1,0.00102719,0.191489,0.0931794,0.0269397,true
99,64,0.027296,0.00187793,0.254181,0.1,0.0254181,0.0094616,-1.57788e-11,0.0094616,1264.58,0.121499,1,0.000152667,0.19199,0.108385,0.0263875,true
100,64,0.026284,0.00176225,0.245217,0.1,0.0245217,0.022524,-5.79242e-12,0.022524,1242.08,0.210273,1,2.86102e-06,0.192305,0.0999024,0.0261594,true
101,64,0.0272164,0.00200199,0.252144,0.1,0.0252144,-0.0168021,2.0278e-11,-0.0168021,1259.5,0.217467,0.999939,0.00311565,0.191672,0.120541,0.0267807,true
