teacher_count,condition,train_seed,eval_domain,eval_seed,success_rate,mean_final_position_norm,mean_final_velocity_norm,mean_final_angular_velocity_norm,invalid_or_nan_rate,mean_action_norm,skipped_updates,training_nan_inf,checkpoint
16,scratch,1,narrow,10000,0,7.25338,12.0245,5.78658,0,0.0946399,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_1/checkpoint.h5
16,scratch,1,narrow,10001,0,7.41978,12.32,6.12779,0,0.0965953,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_1/checkpoint.h5
16,scratch,1,narrow,10002,0,7.65722,12.4478,6.27372,0,0.0991094,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_1/checkpoint.h5
16,scratch,1,medium,10000,0,7.16057,11.9489,5.86531,0,0.0936083,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_1/checkpoint.h5
16,scratch,1,medium,10001,0,7.3861,12.379,6.38894,0,0.096664,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_1/checkpoint.h5
16,scratch,1,medium,10002,0,7.21224,12.1406,6.26174,0,0.0973469,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_1/checkpoint.h5
16,diff_init,1,fixed,10000,0,4.22353,5.78397,1.61609,0,0.382253,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_1/checkpoint.h5
16,diff_init,1,fixed,10001,0,4.1269,5.69739,1.5465,0,0.375862,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_1/checkpoint.h5
16,diff_init,1,fixed,10002,0,4.10857,5.67142,1.58571,0,0.375293,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_1/checkpoint.h5
16,diff_init,1,narrow,10000,0,3.89518,5.30434,1.55065,0,0.370602,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_1/checkpoint.h5
