step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
144,32,0.0558304,0.00605499,0.497754,0.1,0.0497754,0.000823644,1.46077e-11,0.000823644,510.849,0.103932,1,0,0.197044,0.344898,0.0513361,true
145,32,0.0558137,0.00603963,0.497741,0.1,0.0497741,0.000838854,3.19456e-11,0.000838854,510.842,0.103778,1,0,0.197028,0.34436,0.0512156,true
146,32,0.055797,0.00602415,0.497728,0.1,0.0497728,0.000854641,-7.89159e-11,0.000854641,510.836,0.103624,1,0,0.197014,0.343814,0.051095,true
147,32,0.0557801,0.00600853,0.497715,0.1,0.0497715,0.000871031,4.99092e-11,0.000871031,510.829,0.103469,1,0,0.196998,0.343263,0.0509741,true
148,32,0.055763,0.00599278,0.497702,0.1,0.0497702,0.000888014,1.01295e-10,0.000888014,510.822,0.103313,1,0,0.196983,0.342706,0.0508529,true
149,32,0.0557458,0.00597689,0.497689,0.1,0.0497689,0.000905604,2.40832e-11,0.000905604,510.815,0.103159,1,0,0.196967,0.342144,0.0507314,true
150,32,0.0557284,0.00596086,0.497675,0.1,0.0497676,0.000923799,-5.38821e-11,0.0009238,510.808,0.103002,1,0,0.196952,0.341575,0.0506096,true
151,32,0.0557109,0.00594468,0.497662,0.1,0.0497662,0.000942646,-3.25978e-11,0.000942646,510.801,0.102846,1,0,0.196936,0.341002,0.0504871,true
152,32,0.0556932,0.00592835,0.497648,0.1,0.0497648,0.000962178,-6.61805e-11,0.000962178,510.794,0.102688,1,0,0.19692,0.340421,0.0503643,true
153,32,0.0556753,0.00591187,0.497634,0.1,0.0497634,0.000982382,-2.87512e-11,0.000982382,510.787,0.102529,1,0,0.196904,0.339833,0.0502412,true
154,32,0.0556572,0.00589522,0.49762,0.1,0.049762,0.0010033,4.44842e-11,0.0010033,510.78,0.10237,1,0,0.196888,0.339239,0.0501174,true
155,32,0.055639,0.00587842,0.497606,0.1,0.0497606,0.00102503,1.77378e-12,0.00102503,510.773,0.10221,1,0,0.196872,0.338638,0.0499931,true
156,32,0.0556206,0.00586145,0.497591,0.1,0.0497591,0.00104762,-7.03737e-12,0.00104762,510.765,0.102048,1,0,0.196855,0.338029,0.0498687,true
