group_key,size_mass_bin,thrust_to_weight_bin,torque_to_inertia_bin,motor_delay_bin,curve_shape_bin,sample_count,loss_mean,success_mean,action_saturation_mean
179,0,2,3,0,3,6250,0.323536,0.98288,0.0229825
180,0,2,3,1,0,6250,0.18501,0.87328,0.0475125
181,0,2,3,1,1,6250,0.214396,0.94848,0.041195
182,0,2,3,1,2,6250,0.204946,0.972,0.0362125
183,0,2,3,1,3,6250,0.241185,0.97792,0.0352625
184,0,2,3,2,0,6250,0.193875,0.85472,0.0596875
185,0,2,3,2,1,6250,0.151624,0.93968,0.0514775
186,0,2,3,2,2,6250,0.158345,0.96416,0.048065
187,0,2,3,2,3,6250,0.201826,0.97232,0.0471925
188,0,2,3,3,0,6250,0.196111,0.83104,0.0724675
189,0,2,3,3,1,6250,0.180444,0.9264,0.0645325
190,0,2,3,3,2,6250,0.170186,0.956,0.0617225
191,0,2,3,3,3,6250,0.147157,0.96016,0.06055
192,0,3,0,0,0,6250,0.0997307,0.6448,0.0161725
193,0,3,0,0,1,6250,0.0664623,0.8528,0.0133525
194,0,3,0,0,2,6250,0.0504386,0.93168,0.0114475
195,0,3,0,0,3,6250,0.04343,0.96592,0.0116375
196,0,3,0,1,0,6250,0.10599,0.63232,0.02038
197,0,3,0,1,1,6250,0.069947,0.86736,0.0168425
198,0,3,0,1,2,6250,0.0535079,0.94096,0.0142475
199,0,3,0,1,3,6250,0.0467067,0.96704,0.014425
200,0,3,0,2,0,6250,0.114692,0.64112,0.0232175
201,0,3,0,2,1,6250,0.077315,0.87344,0.018875
202,0,3,0,2,2,6250,0.0580324,0.9528,0.016735
203,0,3,0,2,3,6250,0.0540136,0.972,0.016335
204,0,3,0,3,0,6250,0.127736,0.65232,0.0272975
205,0,3,0,3,1,6250,0.0906485,0.87184,0.02131
206,0,3,0,3,2,6250,0.0724685,0.94592,0.0196625
207,0,3,0,3,3,6250,0.0663643,0.97152,0.0208975
208,0,3,1,0,0,6250,0.105132,0.68128,0.0243025
209,0,3,1,0,1,6250,0.0696385,0.88768,0.0181925
210,0,3,1,0,2,6250,0.0623189,0.95424,0.014335
211,0,3,1,0,3,6250,0.0768773,0.9776,0.012325
212,0,3,1,1,0,6250,0.103217,0.6696,0.0335625
213,0,3,1,1,1,6250,0.0740968,0.88688,0.0255375
214,0,3,1,1,2,6250,0.0612046,0.95552,0.0200075
215,0,3,1,1,3,6250,0.0544133,0.97712,0.0171825
216,0,3,1,2,0,6250,0.122102,0.65824,0.0436875
217,0,3,1,2,1,6250,0.0878712,0.88448,0.03238
218,0,3,1,2,2,6250,0.0727784,0.95232,0.02696
219,0,3,1,2,3,6250,0.0610849,0.97456,0.0242875
220,0,3,1,3,0,6250,0.147833,0.64512,0.0507275
221,0,3,1,3,1,6250,0.111349,0.87376,0.039535
222,0,3,1,3,2,6250,0.0831198,0.94688,0.033205
223,0,3,1,3,3,6250,0.0815154,0.96928,0.0301225
224,0,3,2,0,0,6250,0.142235,0.70944,0.0326475
225,0,3,2,0,1,6250,0.148715,0.90144,0.0242525
226,0,3,2,0,2,6250,0.135119,0.96144,0.01978
227,0,3,2,0,3,6250,0.116666,0.98016,0.0168575
228,0,3,2,1,0,6250,0.135229,0.68896,0.0471025
229,0,3,2,1,1,6250,0.13489,0.89248,0.0353875
230,0,3,2,1,2,6250,0.122814,0.9576,0.029385
231,0,3,2,1,3,6250,0.115197,0.97792,0.0255375
232,0,3,2,2,0,6250,0.145723,0.65856,0.058865
233,0,3,2,2,1,6250,0.120312,0.87664,0.04676
234,0,3,2,2,2,6250,0.0907887,0.95632,0.0391375
235,0,3,2,2,3,6250,0.0941941,0.97456,0.03451
236,0,3,2,3,0,6250,0.185659,0.64928,0.0705225
237,0,3,2,3,1,6250,0.128532,0.86832,0.0578325
238,0,3,2,3,2,6250,0.104903,0.9408,0.04877
239,0,3,2,3,3,6250,0.0912737,0.96544,0.04488
240,0,3,3,0,0,6250,0.205671,0.71856,0.040735
241,0,3,3,0,1,6250,0.208731,0.90752,0.031185
242,0,3,3,0,2,6250,0.247193,0.96512,0.024665
243,0,3,3,0,3,6250,0.241427,0.97504,0.0219225
244,0,3,3,1,0,6250,0.200767,0.676,0.0577225
245,0,3,3,1,1,6250,0.160232,0.89376,0.0445425
246,0,3,3,1,2,6250,0.146853,0.95632,0.0373975
247,0,3,3,1,3,6250,0.168269,0.97344,0.033895
248,0,3,3,2,0,6250,0.211872,0.66384,0.0694375
249,0,3,3,2,1,6250,0.220532,0.87424,0.058025
250,0,3,3,2,2,6250,0.167972,0.95328,0.0496875
251,0,3,3,2,3,6250,0.19569,0.97216,0.0465325
252,0,3,3,3,0,6250,0.255332,0.65232,0.08285
253,0,3,3,3,1,6250,0.184499,0.86208,0.0689575
254,0,3,3,3,2,6250,0.188778,0.9336,0.063355
255,0,3,3,3,3,6250,0.179734,0.95888,0.0593575
256,1,0,0,0,0,6250,0.0464796,0.97424,0.0132475
