step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
38,16,500,239.583,0.00728042,0.00551219,0.0176823,0.1,0.00176823,0.0062321,-1.49906e-11,0.0062321,34.0416,0.00263215,0.90625,0.0178299,0.460696,1.11973,0.720035,0.250388,1.9018,3.39409,5.37892,0.278554,0.0483364,0.014889,0.00325945,0.00285786,0.00168315,0,0,0,0,0,0.172508,0.307871,0.487912,0.0252671,0.0043845,0.00135055,0.000295658,0.000259231,0.000152676,0,true
39,16,500,239.583,0.00727914,0.00551215,0.0176699,0.1,0.00176699,0.00612395,1.1253e-10,0.00612395,34.0296,0.00261257,0.90625,0.0178375,0.460697,1.11972,0.720035,0.250333,1.9018,3.39406,5.37891,0.2785,0.0483384,0.0148924,0.00325998,0.00285889,0.00168379,0,0,0,0,0,0.17251,0.307871,0.487914,0.0252624,0.00438471,0.00135087,0.000295708,0.000259326,0.000152735,0,true
40,16,500,239.583,0.00727784,0.00551211,0.0176574,0.1,0.00176574,0.00608458,8.63943e-11,0.00608458,34.0176,0.00261204,0.90625,0.0178452,0.460698,1.1197,0.720034,0.25028,1.90181,3.39402,5.37891,0.278446,0.0483398,0.0148958,0.0032606,0.00285993,0.00168469,0,0,0,0,0,0.172512,0.307869,0.487918,0.0252577,0.00438487,0.00135119,0.000295767,0.000259422,0.000152817,0,true
41,16,500,239.583,0.0072765,0.00551205,0.0176445,0.1,0.00176445,0.00622162,8.48037e-11,0.00622162,34.0051,0.00262807,0.90625,0.0178604,0.460698,1.11966,0.720034,0.250228,1.90181,3.39396,5.37891,0.278396,0.0483399,0.0148989,0.00326146,0.002861,0.00168625,0,0,0,0,0,0.172514,0.307867,0.487922,0.0252534,0.00438492,0.00135148,0.000295848,0.000259522,0.00015296,0,true
42,16,500,239.583,0.00727526,0.00551202,0.0176324,0.1,0.00176324,0.00601809,-1.84865e-10,0.00601809,33.9934,0.00261831,0.90625,0.0178528,0.460699,1.11965,0.720035,0.250172,1.90181,3.39394,5.3789,0.27834,0.0483425,0.0149025,0.00326184,0.00286199,0.00168649,0,0,0,0,0,0.172515,0.307867,0.487925,0.0252485,0.00438519,0.00135182,0.000295884,0.000259614,0.000152983,0,true
43,16,500,239.583,0.0072739,0.00551197,0.0176194,0.1,0.00176194,0.00620163,6.29936e-11,0.00620163,33.9809,0.00261905,0.90625,0.0178833,0.460699,1.11962,0.720035,0.250121,1.90181,3.39387,5.37889,0.27829,0.0483422,0.0149055,0.00326275,0.00286307,0.00168821,0,0,0,0,0,0.172517,0.307864,0.487929,0.0252442,0.0043852,0.00135211,0.00029597,0.000259714,0.00015314,0,true
44,16,500,239.583,0.00727264,0.00551193,0.0176071,0.1,0.00176071,0.00607392,4.45788e-11,0.00607392,33.9691,0.00260049,0.90625,0.0178909,0.460699,1.1196,0.720034,0.250067,1.90181,3.39384,5.37889,0.278235,0.0483441,0.014909,0.00326324,0.00286408,0.00168875,0,0,0,0,0,0.172518,0.307864,0.487932,0.0252394,0.00438541,0.00135243,0.000296016,0.000259807,0.000153191,0,true
45,16,500,239.583,0.00727134,0.00551188,0.0175945,0.1,0.00175945,0.00609266,1.21879e-10,0.00609266,33.957,0.00259712,0.90625,0.0179062,0.4607,1.11958,0.720035,0.250015,1.90182,3.3938,5.37889,0.278183,0.048345,0.0149123,0.00326393,0.00286512,0.00168987,0,0,0,0,0,0.17252,0.307862,0.487936,0.0252348,0.00438553,0.00135274,0.000296081,0.000259904,0.000153293,0,true
46,16,500,239.583,0.00727002,0.00551183,0.0175819,0.1,0.00175819,0.00615374,-2.37926e-10,0.00615375,33.9448,0.00260318,0.90625,0.0179062,0.460701,1.11955,0.720034,0.249963,1.90182,3.39374,5.37888,0.278131,0.0483455,0.0149155,0.00326468,0.00286616,0.00169116,0,0,0,0,0,0.172522,0.30786,0.48794,0.0252303,0.00438561,0.00135304,0.000296152,0.000260001,0.000153412,0,true
47,16,500,239.583,0.00726876,0.00551179,0.0175697,0.1,0.00175697,0.00601293,-1.03982e-10,0.00601293,33.933,0.0025979,0.90625,0.0179214,0.460701,1.11953,0.720034,0.24991,1.90182,3.39372,5.37888,0.278077,0.0483474,0.014919,0.00326517,0.00286716,0.0016917,0,0,0,0,0,0.172523,0.30786,0.487943,0.0252256,0.00438581,0.00135337,0.000296198,0.000260093,0.000153462,0,true
