step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
32,16,500,243.02,0.00709301,0.00567822,0.0141479,0.1,0.00141479,-0.0781208,-2.9414e-10,-0.0781208,21.5313,0.198557,0.886719,0.063797,0.464095,1.14645,0.735124,0.380953,1.91245,3.54583,5.47533,0.304582,0.0491339,0.0519655,0.00495141,0.00641595,0.00577819,0,0,0,0,0,0.168402,0.312231,0.482135,0.0268202,0.00432652,0.00457586,0.000436,0.000564962,0.000508803,0,true
33,16,500,250.501,0.0065143,0.0053952,0.011191,0.1,0.0011191,0.012854,-1.65259e-10,0.012854,19.1496,0.0518122,0.896484,0.0638275,0.452935,1.13752,0.691503,0.359842,1.87049,3.43138,5.08847,0.284263,0.0490743,0.0495197,0.00494644,0.00647796,0.00578619,0,0,0,0,0,0.173347,0.318002,0.471574,0.0263441,0.00454796,0.00458924,0.000458411,0.000600344,0.000536234,0,true
34,16,500,244.355,0.00650455,0.00541772,0.0108683,0.1,0.00108683,0.029411,-1.96352e-10,0.029411,18.8715,0.109167,0.918945,0.0645905,0.462849,1.13434,0.694832,0.380354,1.88052,3.44941,5.08294,0.307402,0.0448154,0.0529852,0.00500942,0.00647033,0.00589162,0,0,0,0,0,0.173552,0.318345,0.469103,0.02837,0.004136,0.00488999,0.000462318,0.000597145,0.000543736,0,true
35,16,500,242.294,0.00670529,0.00556205,0.0114324,0.1,0.00114324,0.0101041,-1.64906e-10,0.0101041,19.355,0.0804074,0.891602,0.0623474,0.460107,1.16155,0.702224,0.3762,1.89532,3.63997,5.18036,0.296357,0.046319,0.0489616,0.00480784,0.00632168,0.00567576,0,0,0,0,0,0.17038,0.327215,0.465688,0.026641,0.00416384,0.0044014,0.000432201,0.000568287,0.000510222,0,true
36,16,500,240.403,0.0064204,0.00537711,0.0104329,0.1,0.00104329,0.0373023,2.49414e-11,0.0373023,18.4896,0.120682,0.898438,0.0554352,0.449787,1.12875,0.6798,0.373442,1.84019,3.43314,5.06994,0.298097,0.0468608,0.0500418,0.00468791,0.00623296,0.00503366,0,0,0,0,0,0.171113,0.319236,0.471437,0.0277191,0.00435743,0.00465322,0.000435914,0.000579582,0.000468064,0,true
37,16,500,238.812,0.00653989,0.00538979,0.011501,0.1,0.0011501,0.020925,-1.30758e-11,0.020925,19.413,0.0512485,0.908203,0.0634003,0.450775,1.14301,0.69436,0.368187,1.83384,3.43507,5.10373,0.294606,0.0489247,0.0460375,0.0050722,0.00654732,0.005757,0,0,0,0,0,0.170122,0.318664,0.473463,0.02733,0.00453865,0.0042708,0.000470538,0.000607381,0.000534065,0,true
38,16,500,243.502,0.0064967,0.00543344,0.0106327,0.1,0.00106327,-0.022445,2.00272e-10,-0.022445,18.6658,0.0964771,0.90625,0.059494,0.462699,1.1331,0.692489,0.365855,1.90699,3.46884,5.09266,0.288434,0.0467908,0.0465519,0.00492127,0.00628237,0.00540183,0,0,0,0,0,0.175487,0.319212,0.468641,0.0265425,0.00430582,0.00428384,0.000452869,0.000578121,0.000497092,0,true
39,16,500,250.714,0.00660745,0.00535108,0.0125636,0.1,0.00125636,-0.0139857,1.96901e-10,-0.0139857,20.29,0.100409,0.907227,0.052887,0.454076,1.12715,0.690229,0.358191,1.86087,3.39637,5.04238,0.289544,0.0459688,0.0514747,0.00450663,0.00622779,0.00482796,0,0,0,0,0,0.173878,0.317353,0.471155,0.0270547,0.00429528,0.00480974,0.000421095,0.000581919,0.00045112,0,true
40,16,500,245.506,0.00639289,0.00535329,0.010396,0.1,0.0010396,-0.00975632,-1.29578e-10,-0.00975632,18.4568,0.0813363,0.912109,0.0600739,0.451126,1.1167,0.689182,0.365596,1.84879,3.37038,5.07759,0.297883,0.0456078,0.0496392,0.00485788,0.00639448,0.00544551,0,0,0,0,0,0.172678,0.314795,0.474249,0.0278224,0.00425979,0.00463632,0.000453728,0.000597247,0.000508614,0,true
41,16,500,248.027,0.00654514,0.00540121,0.0114393,0.1,0.00114393,-0.00420684,2.93118e-10,-0.00420684,19.3608,0.0385461,0.901367,0.0563812,0.450199,1.15127,0.695643,0.355964,1.83273,3.49797,5.07719,0.281661,0.0482436,0.0482258,0.0049038,0.00631764,0.00517479,0,0,0,0,0,0.169659,0.323814,0.470005,0.0260739,0.004466,0.00446436,0.000453954,0.000584836,0.00047904,0,true
42,16,500,239.944,0.00656148,0.00550761,0.0105387,0.1,0.00105387,-0.00637148,5.63416e-11,-0.00637148,18.5831,0.0175524,0.894531,0.0576477,0.465605,1.14708,0.703174,0.372247,1.89994,3.50632,5.19491,0.301941,0.0472945,0.0484519,0.00479131,0.00632977,0.00522887,0,0,0,0,0,0.172483,0.318317,0.471612,0.0274112,0.00429356,0.00439863,0.000434972,0.000574639,0.000474696,0,true
43,16,500,247.773,0.00657816,0.00556747,0.0101069,0.1,0.00101069,-0.00425405,1.38586e-10,-0.00425405,18.1984,0.0332101,0.900391,0.0617218,0.462505,1.16107,0.713911,0.373269,1.88918,3.56282,5.27042,0.299528,0.0470926,0.0492734,0.00477092,0.00629198,0.00554807,0,0,0,0,0,0.169663,0.319968,0.473323,0.0268999,0.00422927,0.00442512,0.000428465,0.000565067,0.000498258,0,true
44,16,500,237.973,0.00664719,0.00528853,0.0135866,0.1,0.00135866,0.0742497,-2.44801e-10,0.0742497,21.0999,0.195958,0.901367,0.0585785,0.450929,1.10911,0.676929,0.354049,1.85923,3.38665,4.9222,0.293877,0.0459998,0.0526083,0.00472596,0.00644128,0.00533352,0,0,0,0,0,0.17578,0.320188,0.465365,0.0277843,0.00434902,0.00497381,0.000446812,0.000608985,0.000504253,0,true
45,16,500,246.35,0.00667354,0.00542976,0.0124378,0.1,0.00124378,0.0352451,-3.75771e-10,0.0352451,20.1882,0.101376,0.901367,0.0613556,0.457964,1.14438,0.691932,0.362964,1.88001,3.46617,5.10245,0.295799,0.0483384,0.0497392,0.00488014,0.00655305,0.00558335,0,0,0,0,0,0.17312,0.319183,0.469859,0.0272387,0.00445124,0.00458024,0.000449388,0.000603438,0.000514143,0,true
