step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
32,16,500,243.866,0.00663385,0.00554497,0.0108888,0.1,0.00108888,-0.00691214,2.86671e-10,-0.00691214,18.8893,0.0296932,0.913086,0.046814,0.465346,1.12614,0.715196,0.229831,1.9429,3.48645,5.3504,0.231779,0.0474184,0.0174517,0.0043655,0.00495633,0.00422223,0,0,0,0,0,0.175195,0.314379,0.482455,0.0208999,0.0042758,0.00157365,0.000393645,0.000446921,0.000380726,0,true
33,16,500,247.228,0.00625847,0.00533118,0.00927294,0.1,0.000927294,0.0184515,1.40548e-10,0.0184515,17.4315,0.0684955,0.902344,0.035614,0.448346,1.0826,0.700984,0.220309,1.83877,3.29346,5.23961,0.21701,0.0453863,0.016291,0.00403276,0.00457029,0.0032326,0,0,0,0,0,0.172454,0.308886,0.491412,0.0203529,0.00425669,0.0015279,0.000378224,0.000428638,0.000303179,0,true
34,16,500,243.965,0.00635437,0.00539349,0.00960879,0.1,0.000960879,-0.00595845,-1.35672e-10,-0.00595845,17.7443,0.0254654,0.924805,0.0429688,0.451833,1.09305,0.717436,0.232069,1.83523,3.29933,5.3381,0.236583,0.0470872,0.0174026,0.0043165,0.00500838,0.00391284,0,0,0,0,0,0.170134,0.305863,0.494866,0.0219323,0.00436519,0.0016133,0.000400158,0.000464299,0.000362737,0,true
35,16,500,240.446,0.00623643,0.00525257,0.00983862,0.1,0.000983862,0.0124558,-2.85627e-11,0.0124558,17.9553,0.012164,0.910156,0.0383606,0.438859,1.09011,0.685884,0.222085,1.79783,3.3432,5.0658,0.225205,0.044285,0.0166389,0.00398041,0.0047099,0.00349319,0,0,0,0,0,0.171138,0.318244,0.482221,0.0214376,0.00421556,0.00158388,0.000378902,0.000448343,0.000332522,0,true
36,16,500,245.136,0.00655476,0.00547924,0.0107551,0.1,0.00107551,-0.0423321,-3.38012e-10,-0.0423321,18.773,0.139876,0.904297,0.0381317,0.468176,1.12017,0.702858,0.228361,1.93699,3.46181,5.25259,0.23089,0.0460282,0.0177135,0.00410805,0.00487183,0.00349781,0,0,0,0,0,0.176757,0.315902,0.479317,0.0210695,0.00420023,0.00161642,0.000374873,0.000444572,0.000319187,0,true
37,16,500,240.166,0.00631275,0.00528174,0.0103101,0.1,0.00103101,0.00516058,8.41727e-11,0.00516058,18.3805,0.0198631,0.907227,0.0373993,0.451826,1.10347,0.689028,0.226035,1.83136,3.36946,5.06524,0.222023,0.0460665,0.0171266,0.00401871,0.00478566,0.00340565,0,0,0,0,0,0.173367,0.318972,0.479505,0.021018,0.00436092,0.00162131,0.000380434,0.000453039,0.000322399,0,true
38,16,500,241.184,0.006611,0.00559279,0.0101821,0.1,0.00101821,-0.0460248,-3.33604e-10,-0.0460248,18.266,0.112789,0.907227,0.0384674,0.462563,1.1375,0.731919,0.231073,1.89105,3.4581,5.52585,0.232359,0.0477522,0.0178921,0.0041293,0.00493326,0.00351622,0,0,0,0,0,0.169062,0.309157,0.494016,0.020773,0.00426908,0.00159957,0.000369163,0.000441038,0.000314353,0,true
39,16,500,245.803,0.00642045,0.00521756,0.0120289,0.1,0.00120289,0.0537901,1.99561e-10,0.0537901,19.8536,0.137748,0.905273,0.0388184,0.455483,1.10771,0.670719,0.227067,1.85596,3.40774,4.86705,0.230044,0.0446053,0.0173354,0.00403229,0.00484968,0.00350141,0,0,0,0,0,0.177857,0.326565,0.466411,0.0220451,0.00427454,0.00166126,0.000386416,0.000464746,0.000335541,0,true
40,16,500,246.412,0.00649899,0.00537144,0.0112755,0.1,0.00112755,0.0389566,-2.1301e-11,0.0389566,19.2217,0.105815,0.908203,0.0366364,0.458215,1.11182,0.696204,0.220447,1.90613,3.46552,5.0675,0.228688,0.0455459,0.0170575,0.00418373,0.00486674,0.00338888,0,0,0,0,0,0.177432,0.322588,0.471708,0.0212874,0.00423964,0.0015878,0.000389442,0.00045302,0.000315454,0,true
41,16,500,246.531,0.00638417,0.00530921,0.0107495,0.1,0.00107495,0.037473,-4.23839e-11,0.037473,18.7681,0.0897811,0.90625,0.0446014,0.451926,1.08086,0.699256,0.229171,1.85797,3.27984,5.17468,0.230068,0.0460821,0.0165581,0.00430514,0.00487111,0.0040506,0,0,0,0,0,0.174976,0.308883,0.48733,0.0216669,0.00433982,0.00155938,0.000405441,0.000458741,0.000381469,0,true
