step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
38,16,0.0331578,0.000104506,0.330533,0.1,0.0330533,0.0027521,1.30186e-10,0.0027521,294.359,0.00286138,0.886841,0,0.0275891,0.0572212,0.0393806,0.027981,0.00641961,0.0117489,0.0175783,0.000497004,0.000142194,5.68968e-06,0.000156334,1.38679e-05,0,0.17245,0.00799309,0.134994,0.0263665,0.00309676,0.0307141,0.0562114,0.0841019,0.00237788,0.000680317,2.72218e-05,0.000747966,6.635e-05,0,0.825073,true
39,16,0.0331563,0.000104503,0.330518,0.1,0.0330518,0.00274732,7.75749e-11,0.00274732,294.352,0.00288156,0.886841,0,0.027589,0.0572203,0.03938,0.0279815,0.00641961,0.0117485,0.0175781,0.000497104,0.00014218,5.69256e-06,0.000156325,1.38324e-05,0,0.172446,0.00799307,0.13499,0.0263657,0.00309692,0.0307148,0.056211,0.084103,0.00237841,0.000680266,2.72363e-05,0.000747942,6.61816e-05,0,0.825072,true
40,16,0.0331548,0.000104501,0.330503,0.1,0.0330503,0.0027415,-1.38501e-10,0.0027415,294.345,0.00289328,0.886841,0,0.0275889,0.0572196,0.0393794,0.0279822,0.00641961,0.0117481,0.0175779,0.000497205,0.000142166,5.6955e-06,0.000156316,1.37971e-05,0,0.172441,0.00799305,0.134986,0.026365,0.00309708,0.0307156,0.0562105,0.084104,0.00237895,0.000680214,2.7251e-05,0.000747919,6.60143e-05,0,0.82507,true
41,16,0.0331532,0.000104498,0.330487,0.1,0.0330487,0.00273211,-2.65958e-11,0.00273211,294.339,0.00286289,0.886841,0,0.0275889,0.0572186,0.0393789,0.0279828,0.00641961,0.0117478,0.0175776,0.000497304,0.000142152,5.69841e-06,0.000156308,1.3762e-05,0,0.172436,0.00799302,0.134982,0.0263642,0.00309724,0.0307164,0.0562103,0.084105,0.00237949,0.000680164,2.72656e-05,0.000747896,6.58481e-05,0,0.825068,true
42,16,0.0331517,0.000104496,0.330472,0.1,0.0330472,0.00272283,1.20716e-10,0.00272283,294.332,0.00285561,0.886841,0,0.0275889,0.0572177,0.0393783,0.0279834,0.0064196,0.0117474,0.0175774,0.000497404,0.000142138,5.70137e-06,0.000156299,1.37271e-05,0,0.172432,0.00799297,0.134978,0.0263634,0.00309741,0.0307171,0.0562101,0.084106,0.00238002,0.000680114,2.72804e-05,0.000747872,6.56828e-05,0,0.825066,true
43,16,0.0331502,0.000104493,0.330457,0.1,0.0330457,0.00271242,-4.63257e-11,0.00271242,294.325,0.00285825,0.886841,0,0.0275888,0.0572168,0.0393777,0.027984,0.0064196,0.0117471,0.0175772,0.000497503,0.000142124,5.70437e-06,0.000156291,1.36925e-05,0,0.172427,0.00799295,0.134974,0.0263626,0.00309758,0.0307178,0.0562097,0.084107,0.00238056,0.000680062,2.72955e-05,0.000747852,6.55186e-05,0,0.825066,true
44,16,0.0331487,0.000104491,0.330442,0.1,0.0330442,0.00269569,1.62576e-12,0.00269569,294.318,0.00284457,0.886841,0,0.0275888,0.0572159,0.0393772,0.0279847,0.0064196,0.0117467,0.017577,0.000497604,0.00014211,5.70741e-06,0.000156282,1.3658e-05,0,0.172422,0.00799294,0.13497,0.0263619,0.00309775,0.0307186,0.0562094,0.084108,0.00238109,0.000680013,2.73106e-05,0.000747827,6.53553e-05,0,0.825062,true
45,16,0.0331472,0.000104488,0.330427,0.1,0.0330427,0.00268985,8.57349e-11,0.00268985,294.312,0.0028806,0.886841,0,0.0275887,0.0572151,0.0393766,0.0279854,0.00641959,0.0117464,0.0175768,0.000497704,0.000142096,5.71041e-06,0.000156274,1.36237e-05,0,0.172418,0.00799291,0.134966,0.0263611,0.00309793,0.0307193,0.0562091,0.084109,0.00238163,0.000679965,2.73257e-05,0.000747807,6.51928e-05,0,0.82506,true
46,16,0.0331456,0.000104485,0.330411,0.1,0.0330411,0.00266892,7.50094e-12,0.00266892,294.305,0.00283039,0.886841,0,0.0275888,0.0572144,0.0393759,0.027986,0.00641958,0.011746,0.0175765,0.000497806,0.000142083,5.71341e-06,0.000156265,1.35897e-05,0,0.172413,0.00799288,0.134962,0.0263604,0.00309812,0.03072,0.0562088,0.0841099,0.00238218,0.000679916,2.73407e-05,0.000747785,6.50314e-05,0,0.825057,true
47,16,0.0331441,0.000104483,0.330396,0.1,0.0330396,0.00266621,-3.43366e-11,0.00266621,294.298,0.00284955,0.886841,0,0.0275887,0.0572135,0.0393753,0.0279867,0.00641956,0.0117457,0.0175763,0.000497909,0.000142069,5.71637e-06,0.000156257,1.35558e-05,0,0.172409,0.00799285,0.134958,0.0263596,0.00309832,0.0307206,0.0562085,0.0841109,0.00238273,0.000679869,2.73555e-05,0.000747765,6.48709e-05,0,0.825056,true
