step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
39,16,0.0504477,0.00048969,0.499581,0.1,0.0499581,0.00132359,-7.67008e-11,0.00132359,361.887,0.0135608,0,0,0.0291384,0.159277,0.0421348,0.112282,0.00660496,0.0478142,0.0182223,0.00338934,0.00109648,5.37298e-05,4.13452e-06,0.000747155,0,0.901449,0.00904423,0.821883,0.0294409,0.0410803,0.00674402,0.048821,0.0186059,0.0034607,0.00111956,5.4861e-05,4.22157e-06,0.000762886,0,0.920429,true
40,16,0.0504429,0.000486807,0.499561,0.1,0.0499561,0.00123023,3.41193e-11,0.00123023,361.88,0.0129859,0,0,0.029137,0.159205,0.0420181,0.105801,0.00660481,0.0477773,0.0182079,0.00304889,0.0010954,4.76195e-05,4.08009e-06,0.000746331,0,0.896081,0.00904325,0.821145,0.0293365,0.0365576,0.00678381,0.0490721,0.0187014,0.00313152,0.00112509,4.89101e-05,4.19067e-06,0.000766559,0,0.920367,true
41,16,0.0504383,0.000484141,0.499541,0.1,0.0499541,0.00114504,-4.09337e-11,0.00114504,361.873,0.0124423,0,0,0.0291355,0.159129,0.04191,0.0995744,0.00660462,0.0477386,0.0181947,0.00274015,0.00109428,4.2096e-05,4.02723e-06,0.000745482,0,0.891118,0.0090422,0.82037,0.0292406,0.0324653,0.00682098,0.0493024,0.0187908,0.00282991,0.00113013,4.34749e-05,4.15915e-06,0.000769902,0,0.920309,true
42,16,0.0504339,0.000481677,0.499522,0.1,0.0499522,0.00106785,1.72906e-11,0.00106785,361.866,0.0119303,0,0,0.0291339,0.159049,0.0418101,0.0936081,0.00660444,0.0476976,0.0181827,0.00246109,0.00109311,3.71207e-05,3.97568e-06,0.000744608,0,0.886526,0.00904111,0.819558,0.0291531,0.0287752,0.00685568,0.0495121,0.0188743,0.00255471,0.0011347,3.85328e-05,4.12692e-06,0.000772933,0,0.920251,true
43,16,0.0504298,0.000479399,0.499504,0.1,0.0499504,0.000998502,-3.71627e-11,0.000998502,361.859,0.0114503,0,0,0.0291323,0.158966,0.0417181,0.0879056,0.00660424,0.0476549,0.0181715,0.00220971,0.0010919,3.26563e-05,3.92528e-06,0.000743705,0,0.882284,0.00903999,0.818711,0.0290732,0.0254601,0.00688804,0.0497028,0.0189524,0.00230466,0.00113882,3.40596e-05,4.09396e-06,0.000775664,0,0.920198,true
44,16,0.0504259,0.000477293,0.499486,0.1,0.0499486,0.000936761,-3.12178e-11,0.000936761,361.853,0.0110023,0,0,0.0291305,0.158879,0.0416338,0.0824716,0.00660404,0.04761,0.0181613,0.00198408,0.00109063,2.86659e-05,3.87582e-06,0.000742771,0,0.878359,0.00903876,0.817826,0.0290005,0.0224933,0.00691823,0.049875,0.0190253,0.00207848,0.00114252,3.00297e-05,4.06021e-06,0.000778109,0,0.920147,true
45,16,0.0504222,0.000475343,0.499469,0.1,0.0499469,0.000882385,9.03269e-11,0.000882385,361.846,0.0105863,0,0,0.0291288,0.158788,0.0415561,0.0773106,0.00660383,0.0475631,0.0181521,0.00178232,0.00108932,2.51142e-05,3.82713e-06,0.000741808,0,0.874726,0.00903746,0.816906,0.0289343,0.0198486,0.00694638,0.0500303,0.0190936,0.00187477,0.00114582,2.64169e-05,4.02564e-06,0.000780287,0,0.9201,true
46,16,0.0504187,0.000473537,0.499452,0.1,0.0499452,0.000835088,1.38347e-11,0.000835088,361.84,0.010202,0,0,0.0291268,0.158693,0.0414857,0.0724268,0.00660359,0.047514,0.0181435,0.00160259,0.00108795,2.19668e-05,3.77902e-06,0.000740814,0,0.871357,0.00903613,0.815943,0.0288744,0.0175013,0.00697263,0.0501693,0.0191574,0.00169215,0.00114875,2.31944e-05,3.99021e-06,0.000782214,0,0.920052,true
47,16,0.0504154,0.00047186,0.499436,0.1,0.0499436,0.00079456,-1.55912e-11,0.000794561,361.834,0.00984906,0,0,0.0291248,0.158594,0.0414214,0.0678255,0.00660337,0.0474629,0.0181358,0.00144314,0.00108653,1.91906e-05,3.73135e-06,0.000739784,0,0.868225,0.00903477,0.814942,0.0288201,0.0154269,0.00699717,0.0502935,0.0192173,0.0015292,0.00115133,2.03351e-05,3.95387e-06,0.000783903,0,0.920003,true
48,16,0.0504123,0.000470299,0.49942,0.1,0.049942,0.000760493,1.58813e-10,0.000760493,361.828,0.00952689,0,0,0.0291228,0.158491,0.0413634,0.0635113,0.00660313,0.0474096,0.0181287,0.00130227,0.00108506,1.67539e-05,3.68397e-06,0.000738726,0,0.86531,0.00903333,0.813902,0.028771,0.0136024,0.00702013,0.0504036,0.0192735,0.00138451,0.00115358,1.7812e-05,3.91662e-06,0.000785379,0,0.919956,true
49,16,0.0504092,0.000468843,0.499404,0.1,0.0499404,0.000732562,-1.17989e-13,0.000732562,361.823,0.00923469,0,0,0.0291206,0.158385,0.0413106,0.0594892,0.00660287,0.0473543,0.0181221,0.00117838,0.00108353,1.46264e-05,3.63674e-06,0.000737635,0,0.862589,0.00903181,0.812824,0.0287266,0.0120057,0.00704166,0.0505012,0.0193264,0.00125669,0.00115554,1.55984e-05,3.87842e-06,0.000786654,0,0.919912,true
50,16,0.0504063,0.00046748,0.499388,0.1,0.0499388,0.000710437,5.14218e-11,0.000710437,361.817,0.00897139,0,0,0.0291183,0.158274,0.0412632,0.0557633,0.00660259,0.0472965,0.0181162,0.0010699,0.00108195,1.27793e-05,3.58956e-06,0.000736505,0,0.860039,0.0090302,0.811706,0.0286866,0.0106155,0.0070619,0.0505867,0.0193765,0.00114433,0.00115722,1.36683e-05,3.83927e-06,0.000787741,0,0.919868,true
51,16,0.0504035,0.000466198,0.499373,0.1,0.0499373,0.000693755,8.69191e-11,0.000693755,361.812,0.00873595,0,0,0.0291159,0.158159,0.0412204,0.0523384,0.00660232,0.047237,0.0181108,0.000975401,0.00108032,1.11851e-05,3.5423e-06,0.000735346,0,0.85764,0.00902861,0.810549,0.0286506,0.00941194,0.00708103,0.0506619,0.019424,0.00104612,0.00115865,1.19961e-05,3.79914e-06,0.000788662,0,0.919823,true
52,16,0.0504009,0.000464988,0.499359,0.1,0.0499359,0.000682163,-1.04004e-10,0.000682163,361.806,0.00852682,0,0,0.0291136,0.158041,0.0411822,0.0492165,0.00660203,0.0471751,0.0181059,0.000893485,0.00107863,9.81819e-06,3.49488e-06,0.000734149,0,0.855372,0.00902694,0.80935,0.0286181,0.00837618,0.00709915,0.0507273,0.0194693,0.000960762,0.00115985,1.05575e-05,3.75803e-06,0.000789428,0,0.919779,true
53,16,0.0503983,0.000463839,0.499344,0.1,0.0499344,0.000675294,3.95342e-11,0.000675294,361.801,0.00834259,0,0,0.0291111,0.157918,0.0411479,0.0463977,0.00660174,0.0471113,0.0181015,0.000822858,0.00107689,8.65424e-06,3.44721e-06,0.000732919,0,0.853222,0.00902516,0.808114,0.0285888,0.0074904,0.0071164,0.050784,0.0195127,0.000887008,0.00116084,9.32892e-06,3.71595e-06,0.000790057,0,0.919738,true
